user_id,total_orders,max_order_number,avg_days_between_orders,prior_order_items,prior_unique_products,prior_reordered_items,prior_orders,order_id,latest_order_number,latest_order_dow,latest_order_hour,latest_days_since_prior_order
1,11,11,19.0,59,57,41,10,1187899,11,4,8,14.0
2,15,15,16.285714285714285,195,192,93,14,1492625,15,1,11,30.0
3,13,13,12.0,88,88,55,12,2774568,13,5,15,11.0
4,6,6,17.0,18,18,1,5,329954,6,3,12,30.0
5,5,5,11.5,37,37,14,4,2196797,5,0,11,6.0
6,4,4,13.333333333333334,14,14,2,3,1528013,4,3,16,22.0
7,21,21,10.45,206,206,138,20,525192,21,2,11,6.0
8,4,4,23.333333333333332,49,49,13,3,880375,4,1,14,10.0
9,4,4,22.0,76,76,18,3,1094988,4,6,10,30.0
10,6,6,21.8,143,133,49,5,1822501,6,0,19,30.0
11,8,8,18.714285714285715,94,94,33,7,1376945,8,6,11,8.0
12,6,6,26.0,74,74,13,5,1356845,6,1,20,30.0
13,13,13,7.666666666666667,81,79,52,12,1827621,13,0,21,8.0
14,14,14,21.23076923076923,210,205,68,13,2316178,14,2,19,11.0
15,23,23,10.636363636363637,72,72,59,22,2161313,23,1,9,7.0
16,7,7,19.333333333333332,70,70,24,6,1416320,7,0,13,7.0
17,41,41,8.0,294,279,211,40,2180313,41,3,10,30.0
18,7,7,5.833333333333333,39,39,10,6,2461523,7,6,9,7.0
19,10,10,9.333333333333334,204,203,71,9,1735923,10,6,17,8.0
20,5,5,11.25,22,22,15,4,1980631,5,1,11,30.0
21,34,34,10.454545454545455,205,205,103,33,1854765,34,1,12,28.0
22,16,16,12.733333333333333,69,69,35,15,139655,16,5,6,1.0
23,5,5,18.5,40,40,4,4,3402036,5,1,12,30.0
24,19,19,14.666666666666666,38,38,20,18,965160,19,0,16,0.0
25,4,4,30.0,21,21,2,3,1411408,4,0,15,30.0
26,13,13,12.166666666666666,56,56,22,12,2940603,13,5,14,8.0
27,82,82,4.432098765432099,768,758,548,81,2614670,82,5,14,4.0
28,25,25,11.541666666666666,183,183,77,24,1192143,25,1,16,8.0
29,19,19,11.61111111111111,225,222,158,18,3110252,19,4,11,13.0
30,9,9,21.625,11,11,5,8,62370,9,2,13,22.0
31,21,21,5.55,299,299,109,20,280888,21,4,9,18.0
32,6,6,22.2,114,114,34,5,3202221,6,1,13,30.0
33,4,4,25.333333333333332,53,53,19,3,3222866,4,6,17,19.0
34,6,6,22.0,32,32,6,5,698604,6,4,13,30.0
35,10,10,21.333333333333332,184,184,94,9,707453,10,4,15,21.0
36,38,38,9.54054054054054,153,149,98,37,1320132,38,0,8,3.0
37,24,24,13.521739130434783,188,186,84,23,1524161,24,0,13,16.0
38,13,13,21.75,195,192,107,12,3173750,13,0,9,30.0
39,8,8,11.285714285714286,141,141,73,7,882556,8,6,13,7.0
40,10,10,12.444444444444445,104,104,68,9,2431024,10,0,8,7.0
41,6,6,26.6,65,65,18,5,2032076,6,0,20,30.0
42,17,17,13.875,133,133,73,16,2803975,17,0,11,14.0
43,12,12,11.818181818181818,147,147,59,11,1864787,12,5,11,26.0
44,4,4,30.0,37,37,7,3,2436259,4,0,12,30.0
45,5,5,15.75,18,18,1,4,2827745,5,5,10,3.0
46,20,20,17.36842105263158,157,157,95,19,1947848,20,4,20,11.0
47,6,6,9.6,26,26,5,5,2906490,6,4,22,16.0
48,11,11,20.9,113,113,55,10,2924697,11,5,18,14.0
49,9,9,24.875,47,47,2,8,519514,9,4,12,2.0
50,68,68,5.432835820895522,453,436,364,67,1750084,68,3,9,7.0
51,4,4,15.333333333333334,29,29,5,3,2174416,4,0,14,16.0
52,28,28,8.851851851851851,169,169,118,27,1647290,28,4,16,3.0
